"","x"
"kraken_3576 Aminobacteriaceae.g Fretibacterium",3
"kraken_3577 Silvanigrellaceae.g Pigmentibacter",2
"kraken_3579 Bacteriovoracaceae.g Bacteriovorax",2
"kraken_3581 Petrotogaceae.g Defluviitoga",3
"kraken_3582 Petrotogaceae.g Tepiditoga",3
"kraken_3583 Aquificaceae.g Thermocrinis",3
"kraken_3584 Aquificaceae.g Hydrogenobacter",3
"kraken_3585 Geovibrionaceae.g Geovibrio",3
"kraken_3586 Geovibrionaceae.g Denitrovibrio",3
"kraken_3587 Deferribacteraceae.g Deferribacter",2
"kraken_3588 Chrysiogenaceae.g Desulfurispirillum",3
"kraken_3589 Bradymonadaceae.g Persicimonas",4
"kraken_3590 Haloarculaceae.g Halosimplex",4
"kraken_3594 Haloarculaceae.g Halomicroarcula",4
"kraken_3596 Haloarculaceae.g Halomicrobium",2
"kraken_3598 Haloarculaceae.g Halapricum",4
"kraken_3599 Haloarculaceae.g Halosiccatus",2
"kraken_3602 Halobacteriaceae.g Halalkalicoccus",3
"kraken_3603 Halobacteriaceae.g Halovenus",3
"kraken_3610 Halorubraceae.g Halolamina",2
"kraken_3611 Haloferacaceae.g Haloquadratum",3
"kraken_3612 Haloferacaceae.g Halobellus",2
"kraken_3619 Natrialbaceae.g Natribaculum",4
"kraken_3620 Natrialbaceae.g Haloterrigena",4
"kraken_3621 Methanosarcinaceae.g Methanosarcina",2
"kraken_3623 Methanosarcinaceae.g Methanomethylovorans",3
"kraken_3624 Methanosarcinaceae.g Methanosalsum",3
"kraken_3626 Methanospirillaceae.g Methanospirillum",3
"kraken_3627 Methanobacteriaceae.g Methanobrevibacter",4
"kraken_3638 Nitrosopumilaceae.g Nitrosopumilus",2
"kraken_3640 Nitrosopumilaceae.g Candidatus Nitrosomarinus",3
"kraken_3641 Nitrososphaeraceae.g Candidatus Nitrosocosmicus",2
"kraken_3642 Nitrososphaeraceae.g Candidatus Nitrosotenuis",2
"kraken_3643 Sulfolobaceae.g Saccharolobus",2
"kraken_3645 Desulfurococcaceae.g Ignicoccus",3
"kraken_3646 Acidilobaceae.g Acidilobus",3
"kraken_3647 Rountreeviridae.g Andhravirus",3
"kraken_3650 Zierdtviridae.g Ceetrepovirus",2
"kraken_3651 Zierdtviridae.g Ceetrepovirus",2
"kraken_3655 Zierdtviridae.g Lillamyvirus",3
"kraken_3656 Suoliviridae.g Oliverocinquevirus",3
"kraken_3657 Peduoviridae.g Valbvirus",3
"kraken_3660 Suoliviridae.g Elemovirus",3
"kraken_3662 Autographiviridae.g Jedunavirus",3
"kraken_3663 Mesyanzhinovviridae.g Moineauvirus",3
"kraken_3664 Mesyanzhinovviridae.g Hattifnattvirus",3
"kraken_3669 Autographiviridae.g Kalppathivirus",3
"kraken_3671 Peduoviridae.g Burrovirus",3
"kraken_3673 Kyanoviridae.g Barnyardvirus",3
"kraken_3676 Phycodnaviridae.g Chlorovirus",2
"kraken_3680 Mimiviridae.g Mimivirus",2
"kraken_3682 Adenoviridae.g Pandoravirus",3
"kraken_3683 Nudiviridae.g Pandoravirus",2
"kraken_3692 Saccharomycetaceae.g Lachancea",3
"kraken_3693 Saccharomycetaceae.g Kluyveromyces",2
"kraken_3694 Saccharomycetaceae.g Nakaseomyces",2
"kraken_3696 Pichiaceae.g Ogataea",3
"kraken_3697 Ustilaginaceae.g Ustilago",2
"kraken_3698 Marasmiaceae.g Marasmius",2
"kraken_3704 Cryptosporidiidae.g Cryptosporidium",2
"kraken_3705 Phaeodactylaceae.g Phaeodactylum",2
"kraken_3706 Dictyosteliaceae.g Dictyostelium",5
"kraken_3732 Microbacteriaceae.g Clavibacter",9
"kraken_3786 Microbacteriaceae.g Frondihabitans",7
"kraken_3787 Microbacteriaceae.g Leifsonia",7
"kraken_3796 Microbacteriaceae.g Salinibacterium",7
"kraken_3801 Microbacteriaceae.g Subtercola",7
"kraken_3802 Microbacteriaceae.g Microterricola",7
"kraken_3805 Microbacteriaceae.g Gryllotalpicola",7
"kraken_3806 Microbacteriaceae.g Diaminobutyricimonas",7
"kraken_3807 Microbacteriaceae.g Pseudoclavibacter",4
"kraken_3808 Microbacteriaceae.g Pontimonas",2
"kraken_3830 Micrococcaceae.g Arthrobacter",9
"kraken_3867 Micrococcaceae.g Sinomonas",7
"kraken_3869 Micrococcaceae.g Neomicrococcus",4
"kraken_3870 Micrococcaceae.g Psychromicrobium",2
"kraken_3872 Intrasporangiaceae.g Tetrasphaera",4
"kraken_3892 Dermabacteraceae.g Devriesea",2
"kraken_3896 Promicromonosporaceae.g Xylanimonas",7
"kraken_3898 Dermacoccaceae.g Luteipulveratus",4
"kraken_3899 Dermacoccaceae.g Allobranchiibius",4
"kraken_3900 Ruaniaceae.g Ruania",7
"kraken_3901 Ruaniaceae.g Occultella",4
"kraken_3902 Dermatophilaceae.g Gephyromycinifex",4
"kraken_3904 Sanguibacteraceae.g Sanguibacter",7
"kraken_3905 Dermacoccaceae.g Pengzhenrongella",4
"kraken_3906 Jonesiaceae.g Jonesia",2
"kraken_3907 Tropherymataceae.g Tropheryma",3
"kraken_4005 Mycobacteriaceae.g Mycolicibacter",7
"kraken_4043 Nocardiaceae.g Prescottella",4
"kraken_4056 Gordoniaceae.g Skermania",4
"kraken_4057 Tsukamurellaceae.g Tsukamurella",7
"kraken_4061 Segniliparaceae.g Segniliparus",2
"kraken_4067 Propionibacteriaceae.g Propionibacterium",7
"kraken_4070 Propionibacteriaceae.g Raineyella",4
"kraken_4071 Propionibacteriaceae.g Vaginimicrobium",3
"kraken_4075 Nocardioidaceae.g Nocardioides",9
"kraken_4090 Nocardioidaceae.g Mumia",4
"kraken_4091 Kribbellaceae.g Kribbella",7
"kraken_4092 Actinopolymorphaceae.g Actinopolymorpha",4
"kraken_4213 Streptomycetaceae.g Streptomyces",8
"kraken_4277 Pseudonocardiaceae.g Saccharomonospora",7
"kraken_4281 Pseudonocardiaceae.g Actinosynnema",4
"kraken_4283 Pseudonocardiaceae.g Actinokineospora",4
"kraken_4284 Pseudonocardiaceae.g Prauserella",4
"kraken_4285 Pseudonocardiaceae.g Allosaccharopolyspora",4
"kraken_4300 Micromonosporaceae.g Micromonospora",9
"kraken_4313 Micromonosporaceae.g Phytohabitans",7
"kraken_4314 Micromonosporaceae.g Actinocatenispora",7
"kraken_4318 Micromonosporaceae.g Polymorphospora",4
"kraken_4319 Micromonosporaceae.g Salinispora",4
"kraken_4346 Actinomycetaceae.g Arcanobacterium",4
"kraken_4352 Actinomycetaceae.g Changpingibacter",2
"kraken_4353 Actinomycetaceae.g Gleimia",2
"kraken_4355 Actinomycetaceae.g Actinotignum",2
"kraken_4356 Actinomycetaceae.g Nanchangia",2
"kraken_4357 Actinomycetaceae.g Actinobaculum",2
"kraken_4358 Actinomycetaceae.g Mobiluncus",2
"kraken_4359 Actinomycetaceae.g Pauljensenia",2
"kraken_4360 Actinomycetaceae.g Boudabousia",3
"kraken_4361 Actinomycetaceae.g Fannyhessea",3
"kraken_4362 Bifidobacteriaceae.g Bifidobacterium",7
"kraken_4378 Bifidobacteriaceae.g Gardnerella",2
"kraken_4379 Bifidobacteriaceae.g Parascardovia",3
"kraken_4380 Bifidobacteriaceae.g Scardovia",3
"kraken_4381 Nocardiopsaceae.g Nocardiopsis",7
"kraken_4386 Nocardiopsaceae.g Spiractinospora",4
"kraken_4387 Candidatus Nanopelagicaceae.g Candidatus Nanopelagicus",2
"kraken_4390 Frankiaceae.g Protofrankia",4
"kraken_4392 Nakamurellaceae.g Nakamurella",7
"kraken_4398 Actinopolysporaceae.g Actinopolyspora",4
"kraken_4399 Acidothermaceae.g Acidothermus",2
"kraken_4402 Atopobiaceae.g Parolsenella",2
"kraken_4403 Atopobiaceae.g Leptogranulimonas",2
"kraken_4404 Atopobiaceae.g Lancefieldella",3
"kraken_4409 Eggerthellaceae.g Slackia",2
"kraken_4411 Eggerthellaceae.g Gordonibacter",2
"kraken_4413 Eggerthellaceae.g Raoultibacter",2
"kraken_4414 Eggerthellaceae.g Xiamenia",2
"kraken_4415 Eggerthellaceae.g Denitrobacterium",2
"kraken_4416 Eggerthellaceae.g Cryptobacterium",3
"kraken_4417 Acidimicrobiaceae.g Acidimicrobium",3
"kraken_4419 Conexibacteraceae.g Conexibacter",7
"kraken_4420 Capillimicrobiaceae.g Capillimicrobium",4
"kraken_4421 Miltoncostaeaceae.g Miltoncostaea",4
"kraken_4423 Thermoleophilaceae.g Thermoleophilum",2
"kraken_4427 Egicoccaceae.g Egicoccus",4
"kraken_4483 Bacillaceae.g Pradoshia",2
"kraken_4484 Bacillaceae.g Oceanobacillus",2
"kraken_4489 Bacillaceae.g Metabacillus",5
"kraken_4493 Bacillaceae.g Parageobacillus",2
"kraken_4509 Bacillaceae.g Radiobacillus",2
"kraken_4513 Bacillaceae.g Fictibacillus",2
"kraken_4514 Bacillaceae.g Aeribacillus",2
"kraken_4515 Bacillaceae.g Gracilibacillus",2
"kraken_4516 Bacillaceae.g Allobacillus",3
"kraken_4518 Bacillaceae.g Alkalihalophilus",2
"kraken_4519 Bacillaceae.g Halalkalibacterium (ex Joshi et al. 2022)",2
"kraken_4521 Bacillaceae.g Paraliobacillus",2
"kraken_4522 Bacillaceae.g Lederbergia",2
"kraken_4523 Bacillaceae.g Evansella",2
"kraken_4525 Bacillaceae.g Sediminibacillus",3
"kraken_4526 Bacillaceae.g Caldibacillus",2
"kraken_4527 Bacillaceae.g Salisediminibacterium",2
"kraken_4529 Bacillaceae.g Salipaludibacillus",3
"kraken_4538 Planococcaceae.g Planococcus",5
"kraken_4543 Planococcaceae.g Viridibacillus",2
"kraken_4545 Planococcaceae.g Paenisporosarcina",2
"kraken_4567 Staphylococcaceae.g Macrococcus",5
"kraken_4573 Staphylococcaceae.g Nosocomiicoccus",2
"kraken_4580 Paenibacillaceae.g Paenibacillus",9
"kraken_4636 Paenibacillaceae.g Aneurinibacillus",2
"kraken_4640 Paenibacillaceae.g Cohnella",4
"kraken_4643 Paenibacillaceae.g Saccharibacillus",2
"kraken_4644 Paenibacillaceae.g Thermobacillus",2
"kraken_4652 Bacillales Family X. Incertae Sedis.g Hydrogenibacillus",3
"kraken_4653 Thermoactinomycetaceae.g Laceyella",2
"kraken_4654 Thermoactinomycetaceae.g Kroppenstedtia",2
"kraken_4662 Alicyclobacillaceae.g Tumebacillus",2
"kraken_4664 Sporolactobacillaceae.g Pullulanibacillus",2
"kraken_4665 Sporolactobacillaceae.g Sporolactobacillus",2
"kraken_4690 Lactobacillaceae.g Weissella",5
"kraken_4696 Lactobacillaceae.g Lacticaseibacillus",2
"kraken_4706 Lactobacillaceae.g Lactiplantibacillus",2
"kraken_4710 Lactobacillaceae.g Latilactobacillus",2
"kraken_4715 Lactobacillaceae.g Fructilactobacillus",2
"kraken_4721 Lactobacillaceae.g Lentilactobacillus",2
"kraken_4725 Lactobacillaceae.g Bombilactobacillus",2
"kraken_4726 Lactobacillaceae.g Secundilactobacillus",3
"kraken_4729 Lactobacillaceae.g Paucilactobacillus",2
"kraken_4730 Lactobacillaceae.g Apilactobacillus",2
"kraken_4735 Lactobacillaceae.g Levilactobacillus",2
"kraken_4736 Lactobacillaceae.g Furfurilactobacillus",3
"kraken_4739 Carnobacteriaceae.g Marinilactibacillus",2
"kraken_4755 Streptococcaceae.g Lactococcus",5
"kraken_4760 Streptococcaceae.g Floricoccus",3
"kraken_4774 Enterococcaceae.g Tetragenococcus",2
"kraken_4790 Oscillospiraceae.g Subdoligranulum",2
"kraken_4792 Oscillospiraceae.g Fastidiosipila",2
"kraken_4793 Oscillospiraceae.g Ruthenibacterium",2
"kraken_4794 Oscillospiraceae.g Mageeibacillus",2
"kraken_4795 Oscillospiraceae.g Petroclostridium",2
"kraken_4796 Oscillospiraceae.g Solibaculum",2
"kraken_4799 Oscillospiraceae.g Monoglobus",2
"kraken_4800 Oscillospiraceae.g Ruminiclostridium",2
"kraken_4802 Oscillospiraceae.g Thermocaproicibacter",2
"kraken_4803 Oscillospiraceae.g Thermoclostridium",2
"kraken_4804 Lachnospiraceae.g Blautia",5
"kraken_4818 Lachnospiraceae.g Mediterraneibacter",2
"kraken_4822 Lachnospiraceae.g Anaerotignum",2
"kraken_4823 Lachnospiraceae.g Lachnospira",2
"kraken_4824 Lachnospiraceae.g Lachnoanaerobaculum",2
"kraken_4826 Lachnospiraceae.g Herbinix",2
"kraken_4827 Lachnospiraceae.g Sellimonas",2
"kraken_4828 Lachnospiraceae.g Tyzzerella",3
"kraken_4829 Lachnospiraceae.g Anaeropeptidivorans",2
"kraken_4855 Clostridiaceae.g Hungatella",2
"kraken_4856 Clostridiaceae.g Crassaminicella",2
"kraken_4860 Clostridiaceae.g Hathewaya",2
"kraken_4862 Clostridiaceae.g Alkaliphilus",2
"kraken_4863 Clostridiaceae.g Oceanirhabdus",2
"kraken_4864 Clostridiaceae.g Sarcina",2
"kraken_4865 Clostridiaceae.g Candidatus Arthromitus",3
"kraken_4866 Clostridiaceae.g Geosporobacter",2
"kraken_4867 Clostridiaceae.g Caminicella",2
"kraken_4869 Eubacteriales Family XIII. Incertae Sedis.g Aminipila",2
"kraken_4870 Eubacteriales Family XIII. Incertae Sedis.g Emergencia",2
"kraken_4872 Eubacteriales Family XIII. Incertae Sedis.g Mogibacterium",2
"kraken_4875 Eubacteriales Family XIII. Incertae Sedis.g Proteiniborus",2
"kraken_4876 Peptostreptococcaceae.g Peptostreptococcus",2
"kraken_4877 Peptostreptococcaceae.g Peptoclostridium",2
"kraken_4879 Peptostreptococcaceae.g Filifactor",2
"kraken_4887 Peptococcaceae.g Candidatus Formimonas",2
"kraken_4890 Peptococcaceae.g Desulforamulus",2
"kraken_4891 Peptococcaceae.g Candidatus Desulforudis",3
"kraken_4892 Peptococcaceae.g Dehalobacterium",2
"kraken_4893 Peptococcaceae.g Thermanaerosceptrum",3
"kraken_4894 Peptococcaceae.g Acididesulfobacillus",3
"kraken_4897 Desulfitobacteriaceae.g Dehalobacter",3
"kraken_4900 Vallitaleaceae.g Vallitalea",2
"kraken_4901 Maliibacteriaceae.g Maliibacterium",2
"kraken_4902 Heliobacteriaceae.g Heliorestis",3
"kraken_4903 Syntrophomonadaceae.g Candidatus Syntrophocurvum",3
"kraken_4904 Syntrophomonadaceae.g Syntrophothermus",3
"kraken_4905 Symbiobacteriaceae.g Symbiobacterium",2
"kraken_4906 Symbiobacteriaceae.g Caldinitratiruptor",2
"kraken_4909 Thermoanaerobacteraceae.g Thermoanaerobacterium",2
"kraken_4910 Thermoanaerobacteraceae.g Thermoanaerobacter",2
"kraken_4912 Thermoanaerobacteraceae.g Thermacetogenium",3
"kraken_4913 Thermoanaerobacteraceae.g Caldanaerobacter",2
"kraken_4914 Thermoanaerobacteraceae.g Gelria",2
"kraken_4917 Thermoanaerobacterales Family III. Incertae Sedis.g Caldicellulosiruptor",2
"kraken_4921 Thermoanaerobacterales Family IV. Incertae Sedis.g Mahella",2
"kraken_4922 Zhaonellaceae.g Zhaonella",2
"kraken_4923 Moorellaceae.g Moorella",2
"kraken_4924 Tepidanaerobacteraceae.g Tepidanaerobacter",3
"kraken_4925 Tepidanaerobacteraceae.g Biomaibacter",3
"kraken_4926 Thermosediminibacteraceae.g Thermosediminibacter",3
"kraken_4927 Halanaerobiaceae.g Halanaerobium",2
"kraken_4929 Halobacteroidaceae.g Halobacteroides",2
"kraken_4930 Halothermotrichaceae.g Anoxybacter",3
"kraken_4931 Natranaerofabaceae.g Natranaerofaba",3
"kraken_4932 Natranaerobiaceae.g Natranaerobius",2
"kraken_4933 Koleobacteraceae.g Koleobacter",3
"kraken_4937 Erysipelotrichaceae.g Faecalibaculum",3
"kraken_4938 Erysipelotrichaceae.g Amedibacterium",2
"kraken_4939 Erysipelotrichaceae.g Allobaculum",2
"kraken_4941 Erysipelotrichaceae.g Longicatena",3
"kraken_4942 Erysipelotrichaceae.g Intestinibaculum",2
"kraken_4943 Erysipelotrichaceae.g Tannockella",2
"kraken_4945 Coprobacillaceae.g Catenibacterium",2
"kraken_4948 Turicibacteraceae.g Turicibacter",2
"kraken_4950 Selenomonadaceae.g Selenomonas",4
"kraken_4954 Selenomonadaceae.g Megamonas",2
"kraken_4957 Veillonellaceae.g Megasphaera",2
"kraken_4962 Acidaminococcaceae.g Phascolarctobacterium",2
"kraken_4967 Peptoniphilaceae.g Peptoniphilus",2
"kraken_4970 Peptoniphilaceae.g Anaerococcus",2
"kraken_4972 Peptoniphilaceae.g Parvimonas",2
"kraken_4973 Peptoniphilaceae.g Murdochiella",3
"kraken_4974 Peptoniphilaceae.g Helcococcus",2
"kraken_4975 Tissierellaceae.g Tissierella",2
"kraken_4976 Tissierellaceae.g Gudongella",3
"kraken_4977 Tepidimicrobiaceae.g Keratinibaculum",2
"kraken_4978 Tepidimicrobiaceae.g Schnuerera",2
"kraken_4979 Thermohalobacteraceae.g Caloranaerobacter",2
"kraken_4980 Acidilutibacteraceae.g Acidilutibacter",2
"kraken_4981 Thermohalobacteraceae.g Ezakiella",2
"kraken_4983 Limnochordaceae.g Limnochorda",2
"kraken_5018 Metamycoplasmataceae.g Mycoplasmoides",3
"kraken_5023 Mycoplasmoidaceae.g Malacoplasma",3
"kraken_5025 Candidatus Izemoplasmataceae.g Xianfuyuplasma",3
"kraken_5027 Synechococcaceae.g Synechococcus",6
"kraken_5045 Prochlorococcaceae.g Cyanobium",4
"kraken_5047 Acaryochloridaceae.g Acaryochloris",2
"kraken_5051 Nostocaceae.g Nostoc",5
"kraken_5057 Nostocaceae.g Halotia",2
"kraken_5058 Nostocaceae.g Richelia",3
"kraken_5064 Aphanizomenonaceae.g Cylindrospermopsis",3
"kraken_5066 Aphanizomenonaceae.g Anabaenopsis",2
"kraken_5069 Hapalosiphonaceae.g Fischerella",2
"kraken_5070 Scytonemataceae.g Scytonema",2
"kraken_5071 Rivulariaceae.g Rivularia",2
"kraken_5075 Chroococcaceae.g Chondrocystis",2
"kraken_5076 Chroococcaceae.g Gloeocapsa",3
"kraken_5077 Aphanothecaceae.g Candidatus Atelocyanobacterium",2
"kraken_5079 Geminocystaceae.g Cyanobacterium",2
"kraken_5081 Microcoleaceae.g Planktothrix",2
"kraken_5083 Sirenicapillariaceae.g Limnospira",3
"kraken_5087 Leptolyngbyaceae.g Leptodesmis",3
"kraken_5088 Leptolyngbyaceae.g Kovacikia",2
"kraken_5089 Pseudanabaenaceae.g Pseudanabaena",2
"kraken_5093 Prochlorotrichaceae.g Halomicronema",3
"kraken_5095 Gloeobacteraceae.g Gloeobacter",2
"kraken_5097 Gloeobacteraceae.g Anthocerotibacter",3
"kraken_5098 Hyellaceae.g Pleurocapsa",3
"kraken_5115 Thermaceae.g Thermus",4
"kraken_5117 Thermaceae.g Meiothermus",2
"kraken_5118 Thermaceae.g Marinithermus",3
"kraken_5119 Thermaceae.g Allomeiothermus",3
"kraken_5120 Trueperaceae.g Truepera",2
"kraken_5122 Chloroflexaceae.g Chloroflexus",2
"kraken_5123 Roseiflexaceae.g Roseiflexus",2
"kraken_5125 Anaerolineaceae.g Brevefilum",3
"kraken_5126 Anaerolineaceae.g Pelolinea",3
"kraken_5127 Ktedonosporobacteraceae.g Thermobaculum",3
"kraken_5128 Ktedonosporobacteraceae.g Ktedonosporobacter",3
"kraken_5129 Caldilineaceae.g Caldilinea",3
"kraken_5130 Thermomicrobiaceae.g Thermomicrobium",3
"kraken_5131 Fimbriimonadaceae.g Fimbriimonas",2
"kraken_5132 Chthonomonadaceae.g Chthonomonas",3
"kraken_5154 Moraxellaceae.g Aquirhabdus",2
"kraken_5335 Pseudomonadaceae.g Denitrificimonas",2
"kraken_5391 Xanthomonadaceae.g Pseudolysobacter",2
"kraken_5398 Rhodanobacteraceae.g Luteibacter",6
"kraken_5399 Rhodanobacteraceae.g Frateuria",6
"kraken_5409 Erwiniaceae.g Erwinia",9
"kraken_5420 Erwiniaceae.g Duffyella",4
"kraken_5421 Erwiniaceae.g Kalamiella",2
"kraken_5436 Enterobacteriaceae.g Citrobacter",6
"kraken_5443 Enterobacteriaceae.g Cronobacter",6
"kraken_5447 Enterobacteriaceae.g Kosakonia",6
"kraken_5451 Enterobacteriaceae.g Scandinavium",2
"kraken_5454 Enterobacteriaceae.g Siccibacter",2
"kraken_5455 Enterobacteriaceae.g Lelliottia",4
"kraken_5458 Enterobacteriaceae.g Buttiauxella",2
"kraken_5459 Enterobacteriaceae.g Pseudocitrobacter",2
"kraken_5460 Enterobacteriaceae.g Superficieibacter",2
"kraken_5461 Enterobacteriaceae.g Jejubacter",2
"kraken_5464 Enterobacteriaceae.g Candidatus Schneideria",3
"kraken_5465 Enterobacteriaceae.g Yokenella",2
"kraken_5466 Enterobacteriaceae.g Phytobacter",2
"kraken_5477 Yersiniaceae.g Rahnella",6
"kraken_5485 Yersiniaceae.g Rouxiella",4
"kraken_5487 Yersiniaceae.g Gibbsiella",2
"kraken_5488 Yersiniaceae.g Ewingella",2
"kraken_5489 Pectobacteriaceae.g Pectobacterium",6
"kraken_5512 Morganellaceae.g Photorhabdus",2
"kraken_5513 Morganellaceae.g Xenorhabdus",5
"kraken_5518 Hafniaceae.g Edwardsiella",4
"kraken_5522 Bruguierivoracaceae.g Sodalis",4
"kraken_5525 Budviciaceae.g Leminorella",3
"kraken_5526 Budviciaceae.g Jinshanibacter",3
"kraken_5531 Pasteurellaceae.g Aggregatibacter",2
"kraken_5533 Pasteurellaceae.g Avibacterium",2
"kraken_5534 Pasteurellaceae.g Vespertiliibacter",3
"kraken_5540 Halomonadaceae.g Halomonas",9
"kraken_5560 Halomonadaceae.g Cobetia",4
"kraken_5564 Halomonadaceae.g Pistricoccus",2
"kraken_5565 Halomonadaceae.g Salinicola",4
"kraken_5567 Halomonadaceae.g Kushneria",4
"kraken_5569 Halomonadaceae.g Zymobacter",3
"kraken_5570 Halomonadaceae.g Candidatus Portiera",3
"kraken_5571 Halomonadaceae.g Chromohalobacter",4
"kraken_5575 Oceanospirillaceae.g Marinobacterium",4
"kraken_5581 Oceanospirillaceae.g Bacterioplanes",2
"kraken_5582 Oceanospirillaceae.g Aliamphritea",2
"kraken_5584 Oceanospirillaceae.g Amphritea",2
"kraken_5585 Oceanospirillaceae.g Bermanella",3
"kraken_5587 Alcanivoracaceae.g Alloalcanivorax",4
"kraken_5589 Alcanivoracaceae.g Isoalcanivorax",4
"kraken_5592 Endozoicomonadaceae.g Endozoicomonas",4
"kraken_5593 Hahellaceae.g Hahella",4
"kraken_5615 Alteromonadaceae.g Salinimonas",2
"kraken_5621 Alteromonadaceae.g Alkalimarinus",2
"kraken_5622 Alteromonadaceae.g Hydrocarboniclastica",3
"kraken_5623 Alteromonadaceae.g Saccharobesus",2
"kraken_5639 Pseudoalteromonadaceae.g Flocculibacter",2
"kraken_5645 Moritellaceae.g Moritella",2
"kraken_5647 Psychromonadaceae.g Psychromonas",2
"kraken_5660 Aeromonadaceae.g Tolumonas",2
"kraken_5661 Aeromonadaceae.g Oceanimonas",2
"kraken_5662 Succinivibrionaceae.g Succinivibrio",2
"kraken_5663 Chromatiaceae.g Rheinheimera",5
"kraken_5664 Chromatiaceae.g Allochromatium",4
"kraken_5665 Chromatiaceae.g Thermochromatium",2
"kraken_5666 Chromatiaceae.g Marichromatium",2
"kraken_5669 Chromatiaceae.g Caldichromatium",2
"kraken_5670 Chromatiaceae.g Thiocapsa",2
"kraken_5674 Ectothiorhodospiraceae.g Thioalkalivibrio",6
"kraken_5676 Ectothiorhodospiraceae.g Halorhodospira",2
"kraken_5677 Ectothiorhodospiraceae.g Acidihalobacter",4
"kraken_5681 Ectothiorhodospiraceae.g Ectothiorhodosinus",2
"kraken_5682 Thioalkalispiraceae.g Sulfurivermis",2
"kraken_5683 Halothiobacillaceae.g Halothiobacillus",2
"kraken_5720 Vibrionaceae.g Grimontia",2
"kraken_5721 Vibrionaceae.g Aliivibrio",2
"kraken_5729 Cellvibrionaceae.g Cellvibrio",5
"kraken_5734 Cellvibrionaceae.g Teredinibacter",2
"kraken_5736 Cellvibrionaceae.g Simiduia",2
"kraken_5737 Cellvibrionaceae.g Saccharophagus",2
"kraken_5738 Halieaceae.g Halioglobus",2
"kraken_5742 Spongiibacteraceae.g Zhongshania",2
"kraken_5748 Coxiellaceae.g Rickettsiella",2
"kraken_5749 Coxiellaceae.g Aquicella",3
"kraken_5756 Methylococcaceae.g Methylogaea",4
"kraken_5757 Methylococcaceae.g Methylobacter",4
"kraken_5758 Methylococcaceae.g Candidatus Methylospira",2
"kraken_5762 Piscirickettsiaceae.g Thiomicrospira",2
"kraken_5765 Piscirickettsiaceae.g Thiosulfativibrio",3
"kraken_5767 Francisellaceae.g Francisella",5
"kraken_5770 Francisellaceae.g Allofrancisella",2
"kraken_5771 Thiotrichaceae.g Thiothrix",4
"kraken_5772 Thiotrichaceae.g Beggiatoa",2
"kraken_5773 Coxiellaceae.g Candidatus Ruthturnera",2
"kraken_5776 Coxiellaceae.g Candidatus Nardonella",3
"kraken_5777 Celerinatantimonadaceae.g Candidatus Baumannia",3
"kraken_5778 Celerinatantimonadaceae.g Candidatus Steffania",3
"kraken_5779 Coxiellaceae.g Gallaecimonas",2
"kraken_5780 Celerinatantimonadaceae.g Thiolapillus",3
"kraken_5781 Acidiferrobacteraceae.g Sulfuricaulis",2
"kraken_5782 Acidiferrobacteraceae.g Acidiferrobacter",2
"kraken_5783 Sinobacteraceae.g Flagellatimonas",2
"kraken_5784 Cardiobacteriaceae.g Cardiobacterium",4
"kraken_5787 Immundisolibacteraceae.g Immundisolibacter",4
"kraken_5790 Candidatus Comchoanobacteraceae.g Candidatus Comchoanobacter",3
"kraken_5800 Methylobacteriaceae.g Methylorubrum",6
"kraken_5843 Rhizobiaceae.g Neorhizobium",6
"kraken_5846 Rhizobiaceae.g Pararhizobium",6
"kraken_5850 Rhizobiaceae.g Allorhizobium",2
"kraken_5860 Rhizobiaceae.g Georhizobium",4
"kraken_5861 Rhizobiaceae.g Ciceribacter",4
"kraken_5864 Rhizobiaceae.g Peteryoungia",2
"kraken_5902 Nitrobacteraceae.g Afipia",4
"kraken_5903 Nitrobacteraceae.g Nitrobacter",4
"kraken_5904 Phyllobacteriaceae.g Mesorhizobium",9
"kraken_5942 Phyllobacteriaceae.g Nitratireductor",6
"kraken_5943 Phyllobacteriaceae.g Chelativorans",4
"kraken_5945 Phyllobacteriaceae.g Hoeflea",4
"kraken_5947 Phyllobacteriaceae.g Roseitalea",2
"kraken_5948 Phyllobacteriaceae.g Salaquimonas",2
"kraken_5949 Aurantimonadaceae.g Aureimonas",6
"kraken_5954 Aurantimonadaceae.g Martelella",6
"kraken_5956 Aurantimonadaceae.g Jiella",4
"kraken_5961 Devosiaceae.g Devosia",9
"kraken_5969 Devosiaceae.g Youhaiella",4
"kraken_5976 Xanthobacteraceae.g Pseudolabrys",4
"kraken_5977 Xanthobacteraceae.g Labrys",4
"kraken_5978 Boseaceae.g Bosea",9
"kraken_5992 Hyphomicrobiaceae.g Rhodomicrobium",2
"kraken_5993 Hyphomicrobiaceae.g Filomicrobium",3
"kraken_5994 Hyphomicrobiaceae.g Methyloligella",2
"kraken_5995 Stappiaceae.g Labrenzia",4
"kraken_5998 Stappiaceae.g Roseibium",6
"kraken_6000 Stappiaceae.g Pseudovibrio",2
"kraken_6009 Beijerinckiaceae.g Methylovirgula",4
"kraken_6010 Beijerinckiaceae.g Methylocella",4
"kraken_6012 Beijerinckiaceae.g Beijerinckia",2
"kraken_6013 Beijerinckiaceae.g Methylocapsa",2
"kraken_6014 Parvibaculaceae.g Nordella",4
"kraken_6015 Parvibaculaceae.g Candidatus Hodgkinia",3
"kraken_6018 Bartonellaceae.g Bartonella",5
"kraken_6021 Phreatobacteraceae.g Phreatobacter",6
