"","x"
"kraken_1279 Phyllobacteriaceae.g Aquibium",6
"kraken_1280 Phyllobacteriaceae.g Aminobacter",4
"kraken_1282 Phyllobacteriaceae.g Oricola",2
"kraken_1283 Phyllobacteriaceae.g Lentilitoribacter",2
"kraken_1286 Methylobacteriaceae.g Methylobacterium",9
"kraken_1295 Methylobacteriaceae.g Microvirga",6
"kraken_1312 Devosiaceae.g Maritalea",3
"kraken_1313 Devosiaceae.g Paradevosia",4
"kraken_1318 Brucellaceae.g Pseudochrobactrum",2
"kraken_1321 Aurantimonadaceae.g Aurantimonas",4
"kraken_1322 Xanthobacteraceae.g Xanthobacter",6
"kraken_1325 Xanthobacteraceae.g Ancylobacter",6
"kraken_1326 Xanthobacteraceae.g Azorhizobium",4
"kraken_1327 Xanthobacteraceae.g Aquabacter",4
"kraken_1328 Xanthobacteraceae.g Starkeya",6
"kraken_1334 Blastochloridaceae.g Blastochloris",4
"kraken_1335 Parvibaculaceae.g Parvibaculum",4
"kraken_1336 Parvibaculaceae.g Pyruvatibacter",2
"kraken_1337 Parvibaculaceae.g Kaustia",4
"kraken_1338 Stappiaceae.g Stappia",4
"kraken_1339 Stappiaceae.g Pannonibacter",4
"kraken_1344 Methylocystaceae.g Methylosinus",4
"kraken_1346 Methylocystaceae.g Chenggangzhangella",4
"kraken_1347 Hyphomicrobiaceae.g Hyphomicrobium",4
"kraken_1348 Hyphomicrobiaceae.g Rhodoplanes",4
"kraken_1349 Hyphomicrobiaceae.g Methyloceanibacter",2
"kraken_1350 Parvibaculaceae.g Pseudorhodoplanes",4
"kraken_1351 Parvibaculaceae.g Terrihabitans",2
"kraken_1353 Kaistiaceae.g Kaistia",4
"kraken_1354 Breoghaniaceae.g Breoghania",4
"kraken_1355 Cohaesibacteraceae.g Cohaesibacter",2
"kraken_1356 Amorphaceae.g Acuticoccus",4
"kraken_1358 Sphingomonadaceae.g Sphingomonas",8
"kraken_1411 Sphingomonadaceae.g Sphingopyxis",9
"kraken_1442 Sphingomonadaceae.g Sphingorhabdus",4
"kraken_1445 Sphingomonadaceae.g Rhizorhabdus",6
"kraken_1447 Sphingomonadaceae.g Citromicrobium",2
"kraken_1448 Sphingomonadaceae.g Sphingosinithalassobacter",4
"kraken_1449 Sphingomonadaceae.g Hankyongella",2
"kraken_1450 Sphingomonadaceae.g Allosphingosinicella",4
"kraken_1451 Sphingomonadaceae.g Sphingomicrobium",4
"kraken_1453 Sphingomonadaceae.g Novosphingopyxis",2
"kraken_1455 Erythrobacteraceae.g Erythrobacter",6
"kraken_1474 Erythrobacteraceae.g Tsuneonella",4
"kraken_1475 Erythrobacteraceae.g Croceicoccus",6
"kraken_1477 Erythrobacteraceae.g Paraurantiacibacter",2
"kraken_1478 Erythrobacteraceae.g Aurantiacibacter",4
"kraken_1479 Erythrobacteraceae.g Caenibius",4
"kraken_1480 Sphingosinicellaceae.g Sphingosinicella",6
"kraken_1481 Paracoccaceae.g Paracoccus",9
"kraken_1500 Paracoccaceae.g Rhodobacter",6
"kraken_1501 Paracoccaceae.g Aliiroseovarius",4
"kraken_1502 Paracoccaceae.g Yoonia",2
"kraken_1503 Paracoccaceae.g Pontivivens",2
"kraken_1504 Paracoccaceae.g Cereibacter",6
"kraken_1506 Paracoccaceae.g Tabrizicola",4
"kraken_1507 Paracoccaceae.g Neotabrizicola",4
"kraken_1508 Paracoccaceae.g Rhodobaca",2
"kraken_1509 Paracoccaceae.g Profundibacter",2
"kraken_1510 Paracoccaceae.g Haematobacter",4
"kraken_1511 Paracoccaceae.g Pseudopuniceibacterium",4
"kraken_1513 Paracoccaceae.g Cognatishimia",2
"kraken_1514 Paracoccaceae.g Pukyongiella",2
"kraken_1515 Paracoccaceae.g Brevirhabdus",2
"kraken_1517 Paracoccaceae.g Abyssibius",2
"kraken_1518 Paracoccaceae.g Thioclava",4
"kraken_1519 Paracoccaceae.g Falsirhodobacter",4
"kraken_1525 Roseobacteraceae.g Sulfitobacter",6
"kraken_1533 Roseobacteraceae.g Leisingera",6
"kraken_1537 Roseobacteraceae.g Roseibacterium",2
"kraken_1539 Roseobacteraceae.g Phaeobacter",4
"kraken_1541 Roseobacteraceae.g Mameliella",4
"kraken_1542 Roseobacteraceae.g Jannaschia",4
"kraken_1544 Roseobacteraceae.g Maribius",2
"kraken_1548 Roseobacteraceae.g Salipiger",6
"kraken_1549 Roseobacteraceae.g Tateyamaria",4
"kraken_1550 Acetobacteraceae.g Roseomonas",6
"kraken_1555 Acetobacteraceae.g Komagataeibacter",6
